epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,21.643015159425282,0.05435019841269841,26.662184431287976,0.0,1e-05,8093.391865491867
2,19.20418021716769,0.2104265873015873,28.612355626424154,0.0,2e-05,7956.994031429291
3,17.11172364340888,0.3252380952380952,31.330162946912978,0.0,3.0000000000000004e-05,7990.481553554535
4,15.12331974604773,0.3871899801587302,34.33556528727213,0.0,4e-05,7956.518995046616
5,13.629027729866996,0.4225297619047619,35.0068355984158,0.0,5e-05,8316.36578297615
6,11.517075402850196,0.4444940476190476,36.94402852376302,0.0,5e-05,8318.921022176743
7,10.049793614432925,0.45832093253968254,35.98622014363607,0.0,4.831008746355686e-05,8305.628196954727
8,9.364257748429738,0.4717237103174603,37.38727127075195,0.0,4.666845481049563e-05,8264.726471424103
9,8.827273677095535,0.4873759920634921,36.68335825602214,0.0,4.507440233236152e-05,8173.915178537369
10,8.508378942902127,0.5005654761904762,37.57643052842882,0.0,4.352723032069971e-05,8178.971260070801
11,8.215205622287023,0.5192088293650794,38.53028806898329,0.0,4.20262390670554e-05,8162.32813334465
12,7.951859084159609,0.5391889880952381,36.85939999050564,0.0,4.057072886297376e-05,8150.807472229004
13,7.662429808302531,0.5756820436507937,36.403501985337996,0.0,3.9160000000000005e-05,7797.00674700737
14,7.481348932470594,0.5891691468253968,36.958012619018554,0.0,3.77933527696793e-05,7792.337442159653
15,7.304362196203262,0.6056423611111111,37.91295281304254,0.0,3.647008746355686e-05,7794.29226064682
16,7.136939467172774,0.6194146825396826,36.80877675374349,0.0,3.518950437317785e-05,7791.24375128746
17,6.938008482039921,0.6367981150793651,37.78082121107313,0.0,3.3950903790087466e-05,8079.130848407745
18,6.809814281823143,0.6432093253968254,38.57115631103515,0.0,3.27535860058309e-05,8088.799782514572
19,6.6837297133226246,0.6486929563492063,36.93252399868435,0.0,3.159685131195335e-05,8121.748706102371
20,6.560722630402399,0.6539161706349207,37.11743843078613,0.0,3.0480000000000006e-05,8123.9055716991425
21,6.403454582009997,0.6593700396825397,37.639956936306426,0.0,2.9402332361516036e-05,8624.47072982788
22,6.309448654935474,0.6615997023809523,38.63678351508246,0.0,2.836314868804665e-05,8518.740349531174
23,6.198993696409558,0.6639955357142857,37.55247717963324,0.0,2.736174927113703e-05,8639.05537366867
24,6.101488351897588,0.6661830357142857,36.580472776624894,0.0,2.6397434402332368e-05,8629.492086648941
25,6.468172913505917,0.6368154761904762,36.52521141052246,0.0,2.546950437317785e-05,1492.7511897087097
26,6.386774776322501,0.64109375,37.14839716593424,0.0,2.457725947521866e-05,727.1077630519867
27,6.306249846844446,0.6459350198412699,37.548515446980794,0.0,2.3719999999999997e-05,730.7883884906769
28,6.222243719214485,0.6500669642857143,37.92028973897298,0.0,2.289702623906706e-05,726.2157092094421
29,6.335134692021779,0.6264558531746032,38.07253028869629,0.0,2.210763848396502e-05,723.1530153751373
30,6.261458455324173,0.6344494047619048,36.75020584106446,0.0,2.135113702623907e-05,722.4265773296356
31,6.19488480709848,0.6396602182539682,39.0421497853597,0.0,2.06268221574344e-05,724.5703527927399
32,6.130993316287086,0.6450347222222222,36.41636510213216,0.0,1.993399416909621e-05,724.68430352211
33,6.068712654000237,0.6489608134920635,36.34150011698405,0.0,1.9271953352769682e-05,727.3166773319244
34,6.009390810841606,0.6532862103174604,36.69686767578125,0.0,1.864e-05,724.5477149486542
35,5.952583000603176,0.6555233134920635,39.239961013793945,0.0,1.803743440233236e-05,725.3132107257843
36,5.895125120310556,0.6579935515873016,37.623485539754235,0.0,1.7463556851311954e-05,722.3523364067078
37,5.844265444789614,0.6606547619047619,37.412304077148434,0.0,1.6917667638483968e-05,745.8154773712158
38,5.791729000750042,0.6631919642857143,38.73738362630208,0.0,1.639906705539359e-05,737.8018641471863
39,5.743243811357589,0.6647420634920634,37.40086364746094,0.0,1.5907055393586008e-05,732.5477514266968
40,5.6957576931090586,0.6663616071428572,37.916770985921225,0.0,1.5440932944606414e-05,723.6838665008545
41,5.6518637801352005,0.6681051587301587,38.26065940856934,0.0,1.5000000000000002e-05,724.6941697597504
42,5.603994505462192,0.6693650793650794,38.57936325073242,0.0,1.4583556851311954e-05,722.5653853416443
43,5.561867983114151,0.6703323412698413,38.670903244018554,0.0,1.4190903790087466e-05,725.4350934028625
44,5.520670574733189,0.67109375,38.76456431070964,0.0,1.3821341107871723e-05,725.5097284317017
45,5.480434993108114,0.6721279761904762,37.67433497111003,0.0,1.3474169096209913e-05,725.1915311813354
46,5.439690147978919,0.6729191468253968,37.31876889546712,0.0,1.3148688046647231e-05,725.369859457016
47,5.402509378194809,0.6737276785714286,38.18531013488769,0.0,1.2844198250728863e-05,725.6575696468353
48,5.362094594353721,0.6748859126984127,39.409455108642575,0.0,1.2560000000000002e-05,722.7320785522461
49,5.328505877369926,0.67515625,41.414898325602216,0.0,1.2295393586005831e-05,724.4138417243958
50,5.295780831915992,0.6756473214285714,39.478236287434896,0.0,1.2049679300291547e-05,725.0932307243347
51,5.261810571068809,0.6761011904761904,37.78019612630208,0.0,1.1822157434402333e-05,732.2606720924377
52,5.23088684025265,0.676592261904762,38.61377616882324,0.0,1.1612128279883382e-05,724.4758830070496
