epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,25.678143606942797,0.03988095238095238,27.65992853282827,0.0,3.3333333333333335e-05,1294.0752139091492
2,20.004210154518248,0.05247519841269841,27.508326403862608,0.0,6.666666666666667e-05,717.8035771846771
3,19.814271166059704,0.0592906746031746,27.577714801889606,0.0,0.0001,700.1357009410858
4,19.5941776012239,0.07986607142857143,27.615347499341038,0.0,0.0001,713.9624981880188
5,19.41730440987481,0.10327380952380952,27.545412434940843,0.0,9.630184220679015e-05,1081.2090187072754
6,19.288665978870693,0.12446428571428571,27.542572932960713,0.0,9.270640432098765e-05,751.900475025177
7,19.176911033448718,0.1450297619047619,27.520487878174908,0.0,8.921223958333334e-05,690.530398607254
8,19.09424554582626,0.1644890873015873,27.537566885484004,0.0,8.58179012345679e-05,735.0371358394623
9,19.030166077386767,0.18104910714285713,27.52539356197931,0.0,8.25219425154321e-05,761.327388048172
10,18.971622430105057,0.1980580357142857,27.525487781625934,0.0,7.932291666666666e-05,772.5505831241608
11,18.91951157100617,0.2135094246031746,27.453571066392207,0.0,7.621937692901235e-05,811.9043493270874
12,18.881362508440773,0.22408978174603175,27.41947834048651,0.0,7.320987654320987e-05,852.4192037582397
13,18.836782841152615,0.23471230158730158,27.407974817056573,0.0,7.029296875e-05,797.3131537437439
14,18.801200648413765,0.24400049603174603,27.48759706885414,0.0,6.746720679012347e-05,759.6928946971893
15,18.767086751574563,0.2526388888888889,27.40508189243553,0.0,6.4731143904321e-05,772.5873720645905
16,18.742836284940203,0.25909970238095237,27.400768161874957,0.0,6.208333333333336e-05,710.4872674942017
17,18.705423435635037,0.2647197420634921,27.41848175926546,0.0,5.952232831790124e-05,689.6206049919128
18,18.67977163466196,0.26896081349206347,27.39870939001573,0.0,5.704668209876544e-05,711.5811936855316
19,18.654594682360454,0.2747222222222222,27.426967198869825,0.0,5.4654947916666665e-05,707.7084085941315
20,18.622705489870103,0.27858382936507936,27.372355013822034,0.0,5.234567901234569e-05,740.826283454895
21,18.59454405587817,0.2824479166666667,27.40678171140958,0.0,5.01174286265432e-05,766.7795736789703
22,18.581813832237607,0.28613343253968254,27.40203587354812,0.0,4.7968750000000004e-05,764.5150423049927
23,18.55925619670323,0.29006944444444444,27.378854211452786,0.0,4.58981963734568e-05,760.1957025527954
24,18.54319148971921,0.29310515873015874,27.295873506934242,0.0,4.390432098765432e-05,719.0205929279327
25,18.569821155336168,0.2947519841269841,27.322155066296062,0.0,4.198567708333332e-05,685.186154127121
26,18.504083954947337,0.29975694444444445,27.332217309327252,0.0,4.014081790123457e-05,683.2324440479279
27,18.48983771278745,0.3017733134920635,27.285795836322077,0.0,3.836829668209877e-05,680.4713771343231
28,18.47783292952038,0.30490823412698415,27.31519045871971,0.0,3.666666666666668e-05,673.9605700969696
29,18.451840900845,0.3085267857142857,27.315867635001123,0.0,3.503448109567902e-05,678.9494435787201
30,18.424058513338604,0.3095684523809524,27.33039184165212,0.0,3.347029320987654e-05,677.9580900669098
31,18.402986306690035,0.31259176587301585,27.291810769950395,0.0,3.1972656250000005e-05,676.927431344986
32,18.386514770568365,0.31471478174603174,27.282721814856064,0.0,3.054012345679013e-05,695.1913137435913
33,18.370159555011327,0.3163715277777778,27.3254059310508,0.0,2.9171248070987657e-05,713.6107971668243
34,18.350138059949117,0.3200396825396825,27.292523426292217,0.0,2.7864583333333327e-05,695.6001260280609
35,18.340256555345324,0.3210689484126984,27.3018704135861,0.0,2.66186824845679e-05,699.7656831741333
36,18.322265981038413,0.32259176587301586,27.277264704746482,0.0,2.54320987654321e-05,687.3384778499603
37,18.308718717363146,0.3248883928571429,27.293749294449796,0.0,2.4303385416666675e-05,686.6007986068726
38,18.291814807104686,0.3274280753968254,27.279516945898006,0.0,2.323109567901235e-05,684.3069808483124
39,18.28538646410382,0.330265376984127,27.274328468120203,0.0,2.2213782793209877e-05,720.7807865142822
40,18.28487682751247,0.33239583333333333,27.281169570652786,0.0,2.125e-05,728.317690372467
41,18.270625193156892,0.3335044642857143,27.26217376236367,0.0,2.0338300540123462e-05,723.8816287517548
42,18.268665017627534,0.33572420634920636,27.264369643894973,0.0,1.947723765432099e-05,738.1487038135529
43,18.26489291675507,0.3376909722222222,27.260685861638162,0.0,1.8665364583333336e-05,743.142995595932
44,18.261696531961835,0.3396354166666667,27.256640864684517,0.0,1.7901234567901232e-05,796.2828416824341
45,18.255381952013288,0.3410714285714286,27.256490285417676,0.0,1.7183400848765433e-05,727.3664257526398
46,18.245253074736823,0.34250248015873014,27.252601471622434,0.0,1.6510416666666667e-05,710.5666861534119
